Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Benin","BEN","758.392636536356","730.918929741279","760.769307445096","771.197722304379","778.515173830961","722.772791190639","711.300936593714","727.985369088805","718.194237074261","745.133447276899","774.552097149273","828.697950371172","824.012209956673","766.291097857084","803.802055548862","839.748903361422","833.436318912088","797.266042869692","800.141755476834","753.569968845582","795.071652677457","801.150911474166","796.642875485553","814.131301806433","802.606190034558","823.549283721719","832.556413755814","854.042875883077","861.987074911252","881.619417821179","905.826269477766","925.716073006309","939.661663938261","942.918587867681","955.534214100597","943.629311658903","952.831227239232","981.455745386847","1000.85148547198","995.694206530851","988.610785491437","989.767354468482","1008.76630305255","1051.55191568071","1087.7199573567","1076.79669785585"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Bermuda","BMU","57309.1583733858","59713.4402579825","61244.5370416687","62615.3153463843","63637.7153637051","66534.0405879678","72208.7316206002","76180.8012904635","76999.1578075252","78360.6870416759","83239.5346092302","84633.1604838556","79583.1339564394","80483.7350100024","80164.5663048658","77902.654187167","82395.2731833022","84794.996880186","87481.3787983877","87131.949413146","86436.2343083741","83812.1328015956","84371.0356555145","86444.678219915","86361.9528113298","89518.2776350258","91261.1514849131","94878.4922499734","97857.323281354","100602.927482617","109001.586029756","115619.474683728","113172.120633639","116268.816861242","118193.148720988","119396.449407765","125294.959387025","128757.880688002","125610.033442692","117886.737990193","115839.79601113","112471.34754245","106119.795030798","105492.480708055","101374.469787793","102005.62564189"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Bhutan","BTN","","","","","","","","","","","401.738805776295","450.075454561609","453.801374851297","488.735021833149","497.821026319179","503.605610722408","544.079467360695","679.956090885645","691.094586308649","723.967573013399","786.148248223626","777.32416365316","813.258372311706","832.42607767835","874.768784731325","931.878603554114","971.308779497466","1004.50499185339","1040.03687339303","1096.82145772856","1108.43982502698","1175.85682928633","1278.87782564352","1352.97895793629","1409.64799930697","1489.21177727918","1572.46210746629","1840.27160175559","1909.24590609124","2017.90347848821","2235.32267681131","2386.62111130181","2479.15172302171","2500.8645117328","2612.88626816591","2752.63017233678"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Bolivia","BOL","1799.57114635169","1850.35314577693","1954.84090323784","2022.32046712785","2036.50200377122","2137.71096398196","2187.35450019533","2245.67807314225","2241.74003645257","2196.45726106366","2120.7017775999","2082.81248681749","1960.43033598219","1843.62335839532","1803.05482627207","1736.87150741088","1657.38819122269","1662.97786852501","1675.60382743769","1702.67918174608","1744.31198977231","1797.78025361123","1789.23998492474","1826.86554756771","1872.70992312317","1920.31793224083","1963.64076114408","2019.85160656277","2079.69667877633","2048.02651114842","2059.18527622201","2054.33094721562","2066.24164005911","2083.42192853374","2131.30710809324","2186.1866764011","2251.27499375349","2313.89121666841","2414.97342195677","2454.80030296852","2514.43482349538","2602.71848993395","2692.60749588045","2830.67345266829","2939.47745959224","3035.97165489786"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Bosnia and Herzegovina","BIH","","","","","","","","","","","","","","","","","","","","","","","","","619.142339857316","768.917490901746","1477.87337034449","2001.17815383051","2314.43482543202","2530.51169811391","2847.59239030369","2913.22950439487","3056.53670841862","3172.38286708931","3371.23891243361","3501.56349239058","3691.05004041004","3909.97150519426","4132.19115331398","4027.69128180577","4095.96073092838","4185.30403335996","4215.61973771974","4390.64870618089","4518.46578593261","4729.68995905382"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Botswana","BWA","653.169957776354","798.130239710166","977.168526679866","1146.14637698941","1203.72065450649","1258.47239684204","1340.68018932163","1444.41428572203","1588.08700073182","1713.88774583934","1849.24194253808","1946.30945379237","2109.52133001379","2307.14672555662","2418.55756150624","2498.48420133044","2602.05666751944","2800.42882068603","3219.20625200759","3509.7311394321","3624.32959480384","3778.47767445437","3782.55037145529","3757.02329041985","3798.43664753444","3968.32071637769","4100.44348386685","4338.90030493386","4260.2389121221","4572.18088767061","4569.21519599982","4494.93875294505","4683.95585720358","4816.57003945497","4859.62896275333","4986.32798605528","5294.96971033461","5612.32779026205","5837.77926488293","5286.57491795748","5642.22004894122","5899.46284141879","6089.39910958464","6704.53681672967","6895.57441329798","6402.91018338391"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Brazil","BRA","3605.87048569222","3917.28584471536","4280.66834818188","4764.11796811139","5032.17956202264","5168.28064014686","5564.76337106389","5702.51442266968","5845.75254337152","6094.9209305223","6500.38780554116","6079.24403845641","5987.82054505781","5679.89740440112","5853.89725888604","6178.52391509739","6504.975723405","6601.58908030838","6471.95272649278","6553.23804876825","6155.64537307478","6110.71907521168","5974.59006469738","6165.31686502015","6420.40739190523","6584.73922064371","6624.10037220125","6742.71174107548","6662.85343857573","6595.61609911524","6787.66899225011","6788.57656201416","6904.6253073595","6896.13719435172","7206.26179832942","7352.28258589388","7560.70204026723","7936.82442801739","8258.61588399477","8169.26241967776","8702.25533075519","8965.62055746199","9056.58043788945","9247.5733810643","9214.97724357405","8813.98980647828"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","British Virgin Islands","VGB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Brunei Darussalam","BRN","","","","","43260.9221888744","41651.0899663275","48100.4102073999","51353.1178051777","52870.6152114838","62590.5458039573","56324.539072659","43769.5125422963","44168.2815049291","43132.00477481","42176.9816918747","40388.6399498617","38189.7985617756","37866.9093395658","37211.0629768686","35779.1340285957","35154.2311663704","35239.4057418065","35881.1439373599","34994.3425621467","35126.3736539632","35753.4100169555","35875.924592218","34516.2129000907","33551.9701372383","33825.71260492","34063.6145822007","34291.1357729317","34926.6280996174","35277.8023409452","34850.1442215081","34441.122606626","35455.6356432544","35064.8666973036","33981.3370322113","32991.8235809292","33437.1217266932","34244.2069027601","34096.9075567649","32924.9900296506","31678.937310877","31164.0362528468"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Bulgaria","BGR","","","","","","","","","","","3428.40951179017","3584.44137344269","3657.28776630937","3773.31598436293","3892.35683500491","3996.86480198196","4166.14166955607","4411.88622261281","4889.25631993901","4784.0546461661","4427.01071361566","4093.47667936907","3836.76395423322","3810.24372530633","3892.71106805827","4021.72281730795","4252.94649834109","3674.93181669676","3839.71670227527","3537.10582207864","3717.67704162788","3937.43486493199","4260.11613781855","4518.87824967162","4849.54289640561","5230.98370373178","5629.41986656582","6044.75941177202","6459.64091191502","6288.67740963612","6427.81006212601","6605.08982045823","6693.61236429071","6693.45015260161","6796.68911922266","7074.68102325059"
